outlet,count,total_count
The New York Times,1677,1677
Bloomberg News,1596,1596
Reuters,1495,1495
Associated Press,1228,1228
Forbes,1192,1192
CNN,1099,1099
The Washington Post,1061,1061
The Wall Street Journal,1027,1027
Los Angeles Times,1024,1024
The Guardian,800,800
NBC News,746,746
USA Today,554,554
Financial Times,524,524
Fox News,517,517
NPR,507,507
ABC News,485,485
Daily Mail,466,466
ESPN,456,456
The Athletic,370,370
Univision News,322,322
Business Insider,312,312
POLITICO,307,307
The Boston Globe,296,296
New York Post,236,236
The Economist,231,231
The New Yorker,229,229
Sports Illustrated,226,226
Telemundo,219,219
Philadelphia Inquirer,215,215
Law360,206,206
Axios,205,205
Star Tribune,197,197
BuzzFeed,183,183
VICE,178,178
Al Jazeera English,169,169
People Magazine,168,168
The Atlanta Journal-Constitution,167,167
Chicago Tribune,161,161
Newsweek,159,159
San Francisco Chronicle,158,158
Seattle Times,157,157
HuffPost,151,151
The Dallas Morning News,148,148
247Sports,143,143
Chron.com,136,136
ProPublica,135,135
iHeartMedia,132,132
CNET,129,129
"WNYC (New York, NY)",125,125
Time,123,123
New York Magazine,121,121
Vogue,116,116
Variety,116,116
Seeking Alpha,112,112
Fox Business,111,111
Miami Herald,109,109
Tampa Bay Times,109,109
Fortune,109,109
Rolling Stone,108,108
The Hill,107,107
SB Nation,106,106
National Geographic,104,104
U.S. News & World Report,104,104
The  Arizona Republic,104,104
Detroit Free Press,102,102
The San Diego Union-Tribune,102,102
Entrepreneur Magazine,102,102
"WGN-TV (Chicago, IL)",101,101
"The Advocate (Baton Rouge, LA)",101,101
Milwaukee Journal Sentinel,100,100
The Epoch Times,100,100
The Daily Beast,99,99
"KTLA-TV (Los Angeles, CA)",98,98
"WRAL-TV (Raleigh, NC)",98,98
"WBUR-FM (Boston, MA)",97,97
Post and Courier,97,97
The Motley Fool (U.S.),96,96
Vox,96,96
The Hollywood Reporter,96,96
KQED,95,95
MarketWatch,95,95
Las Vegas Review-Journal,94,94
"KSAT-TV (San Antonio, TX)",94,94
Science Magazine,93,93
"WNBC-TV (New York, NY)",92,92
Sportsnet Canada,91,91
"KABC-TV (Los Angeles, CA)",90,90
WIRED Magazine,89,89
Spectrum News NY1,89,89
Slate,88,88
"Daily Herald (Chicago, IL)",87,87
Billboard,87,87
Pittsburgh Post-Gazette,86,86
"KUSA-TV (Denver, CO)",86,86
Fast Company,84,84
Detroit News,84,84
GBH News,83,83
Buffalo News,83,83
"WABC-TV (New York, NY)",83,83
Baltimore Sun,82,82
Automotive News,82,82
St. Louis Post-Dispatch,80,80
Bleacher Report,80,80
Washington Examiner,80,80
Sinclair Broadcast Group,79,79
PBS,78,78
The Mercury News,76,76
Orange County Register,76,76
New York Daily News,75,75
Barron's,75,75
"WPVI-TV (Philadelphia, PA)",75,75
Wirecutter,74,74
Bustle,74,74
"WPLG-TV (Pembroke Park, FL)",74,74
"KDVR-TV (Denver, CO)",74,74
The Messenger,74,74
"KNTV-TV (San Jose, CA)",73,73
"KING-TV (Seattle, WA)",73,73
Digital Trends,72,72
The Oregonian,72,72
"WCBS-TV (New York, NY)",72,72
The Portland Press Herald/Maine Sunday Telegram,72,72
"WKMG-TV (Orlando, FL)",71,71
POPSUGAR,70,70
The Times-Picayune | The New Orleans Advocate,69,69
GQ,69,69
Deseret News,69,69
"KGO-TV (San Francisco, CA)",68,68
KSL.com,68,68
"WTVF-TV (Nashville,TN)",68,68
The Denver Post,68,68
Times Union (Albany),67,67
"KTVU-TV (Oakland, CA)",67,67
"WJLA-TV (Arlington, VA)",66,66
"KSDK-TV (St. Louis, MO)",66,66
Kansas City Star,66,66
"KPRC-TV (Houston, TX)",66,66
"WFAA-TV (Dallas, TX)",65,65
"WUSA-TV (Washington, DC)",65,65
The Chronicle of Higher Education,65,65
"WBTS-TV (Boston, MA)",65,65
Salon,64,64
"WXIA-TV (Atlanta, GA)",64,64
TechCrunch,64,64
"WRC-TV (Washington, DC)",64,64
"WANF-TV (Atlanta, GA)",64,64
"WSVN-TV (Miami, FL)",64,64
"WCAU-TV (Philadelphia, PA)",63,63
"KARE-TV (Minneapolis, MN)",63,63
"KYW-TV (Philadelphia, PA)",63,63
"KXAN-TV (Austin, TX)",63,63
"KNBC-TV (Los Angeles, CA)",63,63
"KHOU-TV (Houston, TX)",63,63
"WNYW-TV (New York, NY)",63,63
Pittsburgh Tribune-Review,63,63
"WMAQ-TV (Chicago, IL)",62,62
"WDAF-TV (Kansas City, MO)",62,62
Cincinnati Enquirer,62,62
"KWTV-TV (Oklahoma City, OK)",62,62
"WBBM-TV (Chicago, IL)",61,61
The Salt Lake Tribune,61,61
The Tennessean,61,61
Newsmax,61,61
Orlando Sentinel,61,61
McClatchy Newspapers,61,61
The Indianapolis Star,61,61
Harper's Bazaar,61,61
"WKYC-TV (Cleveland, OH)",60,60
The Verge,60,60
